Position	Charge	Distance	Vibration
1	2.18	188	0.32
1	3.33	183	0.53
1	3.33	177	0.5
2	3.33	53	6.71
2	3.12	49	5.99
2	3.12	46	5.39
2	3.12	44	4.88
2	2.6	42	5.99
2	2.08	42	5.63
2	2.08	44	9.47
2	2.6	45	6.95
2	2.6	48	3.11
2	2.6	50	3.92
1	3.64	107	1.67
1	2.08	100	0.83
1	2.5	93	1.01
1	2.6	86	2.18
1	2.6	80	2.45
1	3.12	74	3.14
1	2.6	71	2.33
1	2.08	69	1.49
1	2.6	66	2.03
1	2.18	65	3.29
1	2.6	61	4.31
3	2.18	145	0.77
3	3.33	136	1.34
3	3.33	133	1.97
4	3.33	36	7.19
4	3.12	36	9.83
4	3.12	39	8.03
4	3.12	40	4.79
4	2.6	43	4.31
4	2.08	47	4.79
4	2.08	51	5.99
4	2.6	56	4.13
4	2.6	61	2.27
4	2.6	65	2.48
3	3.64	65	3.68
3	2.08	59	3.98
3	2.5	52	2.9
3	2.6	47	4.4
3	2.6	43	5.27
3	3.12	39	4.55
3	2.6	38	5.27
3	2.08	38	3.83
3	2.6	37	3.8
3	2.18	37	2
3	2.6	38	4.1















































