Car	KMP4L	Town
1	34.5303	"Los Angeles"     
1	33.6798	"Los Angeles"     
1	36.4014	"Los Angeles"     
2	33.1695	"Los Angeles"     
2	31.6386	"Los Angeles"     
2	32.1489	"Los Angeles"     
3	37.5921	"Los Angeles"     
3	39.1230	"Los Angeles"     
3	38.1024	"Los Angeles"     
4	29.9376 "Los Angeles"    
4	31.1283 "Los Angeles"    
4	30.9582 "Los Angeles"    
5	40.1436 "Los Angeles"    
5	41.6745 "Los Angeles"    
5	42.6951 "Los Angeles"    
1	36.7416 "San Francisco"  
1	38.1024 "San Francisco"  
1	36.2313 "San Francisco"  
2	34.1901 "San Francisco"  
2	33.8499 "San Francisco"  
2	34.8705 "San Francisco"  
3	34.1901 "San Francisco"  
3	35.7210 "San Francisco"  
3	33.6798 "San Francisco"  
4	33.1695 "San Francisco"  
4	32.6592 "San Francisco"  
4	34.5303 "San Francisco"  
5	29.9376 "San Francisco"  
5	31.1283 "San Francisco"  
5	30.7881 "San Francisco"  
1	33.6798 "Portland"       
1	31.6386 "Portland"       
1	35.7210 "Portland"       
2	33.3396 "Portland"       
2	31.1283 "Portland"       
2	33.6798 "Portland"       
3	37.9323 "Portland"       
3	37.4220 "Portland"       
3	36.7416 "Portland"       
4	32.9994 "Portland"       
4	31.4685 "Portland"       
4	32.4891 "Portland"       
5	37.5921 "Portland"       
5	41.3343 "Portland"       
5	40.4838 "Portland"       
