Temperature  Pressure
   738  0.0000211
   748  0.000048
   764  0.0000595
   770  0.000092
   792  0.000206
   795  0.000164
   815  0.000378
   844  0.000787
   845  0.000830
   874  0.001900
   894  0.004260
   927  0.008000
   934  0.011000
   958  0.016800
   989  0.033400
  1000  0.049000
  1023  0.068000
  1025  0.071000
  1029  0.089000
  1030  0.104000
  1042  0.095000
  1048  0.123000
  1067  0.178000
  1082  0.236000
  1084  0.290000
  1112  0.398000
  1132  0.555000
  1133  0.523000
  1134  0.557000
  1135  0.581000
  1135  0.622000
  1150  0.724000
