diam        sample
64.030      1
63.995      2
63.988      3
64.002      4
63.992      5
64.009      6
63.995      7
63.985      8
64.008      9
63.998      10
63.994      11
64.004      12
63.983      13
64.006      14
64.012      15
64.000      16
63.994      17
64.006      18
63.984      19
64.000      20
63.988      21
64.004      22
64.010      23
64.015      24
63.982      25
64.002      1 
63.992      2 
64.024      3 
63.996      4 
64.007      5 
63.994      6 
64.006      7 
64.003      8 
63.995      9 
64.000      10
63.998      11
64.000      12
64.002      13
63.967      14
64.014      15
63.984      16
64.012      17
64.010      18
64.002      19
64.010      20
64.001      21
63.999      22
63.989      23
64.008      24
63.984      25
64.019      1 
64.001      2 
64.021      3 
63.993      4 
64.015      5 
63.997      6 
63.994      7 
63.993      8 
64.009      9 
63.990      10
63.994      11
64.007      12
63.998      13
63.994      14
63.998      15
64.005      16
63.986      17
64.018      18
64.003      19
64.013      20
64.009      21
63.990      22
63.990      23
63.993      24
63.995      25
