   x1    x2    x3    x4
0.196 0.206 0.199 0.215
0.201 0.205 0.198 0.200
0.195 0.200 0.204 0.204
0.210 0.188 0.203 0.200
0.202 0.204 0.196 0.195
0.195 0.200 0.196 0.201
0.203 0.199 0.202 0.189
0.205 0.191 0.205 0.209
0.204 0.197 0.199 0.201
0.198 0.203 0.205 0.213
0.209 0.208 0.202 0.203
0.202 0.199 0.196 0.196
0.196 0.202 0.202 0.204
0.186 0.200 0.193 0.194
0.207 0.192 0.209 0.192
0.200 0.197 0.212 0.202
0.200 0.198 0.198 0.197
0.206 0.200 0.194 0.200
0.205 0.207 0.203 0.200
0.204 0.205 0.199 0.196
