X1   X2   X3   X4
15.8 16.0 15.8 15.9
16.1 16.0 15.8 16.0
16.0 15.9 15.9 15.8
16.2 15.8 15.7 15.9
15.7 15.8 16.2 16.1
15.9 16.0 16.1 16.0
15.7 16.2 16.0 15.8
15.8 15.9 16.0 15.9
16.0 15.9 15.8 15.9
15.6 15.8 15.9 15.8
16.1 16.0 16.0 15.8
16.7 17.8 17.1 18.1
15.8 15.7 15.7 15.9
15.7 15.8 15.9 16.1
16.2 16.0 16.1 15.8
16.1 16.0 15.8 15.9
16.0 15.9 15.8 15.6
15.7 16.0 16.1 16.1
15.8 15.9 16.0 16.1
15.9 16.0 16.1 15.9
16.1 16.0 16.0 15.8
15.9 15.8 15.8 15.8
16.0 15.7 15.7 15.9
16.0 16.0 15.8 15.8
16.0 15.7 15.9 15.9
