Year	SeaLevel
1931	103
1932	78
1933	121
1934	116
1935	115
1936	147
1937	119
1938	114
1939	89
1940	102
1941	99
1942	91
1943	97
1944	106
1945	105
1946	136
1947	126
1948	132
1949	104
1950	117
1951	151
1952	116
1953	107
1954	112
1955	97
1956	95
1957	119
1958	124
1959	118
1960	145
1961	122
1962	114
1963	118
1964	107
1965	110
1966	194
1967	138
1968	144
1969	138
1970	123
1971	122
1972	120
1973	114
1974	96
1975	125
1976	124
1977	120
1978	132
1979	166
1980	134
1981	138
