	Libby0	Newgate0	Libby1	Newgate1	Libby2	Newgate2
1931	27.1	19.7	27.1	19.7	27.1	19.7
1932	20.9	18	20.9	18	20.9	18
1933	33.4	26.1	33.4	26.1	33.4	26.1
1934	77.6	44.9	19.7	44.9	77.6	15.7
1935	37	26.1	37	26.1	37	26.1
1936	21.6	19.9	21.6	19.9	21.6	19.9
1937	17.6	15.7	17.6	15.7	17.6	15.7
1938	35.1	27.6	35.1	27.6	35.1	27.6
1939	32.6	24.9	32.6	24.9	32.6	24.9
1940	26	23.4	26	23.4	26	23.4
1941	27.6	23.1	27.6	23.1	27.6	23.1
1942	38.7	31.3	38.7	31.3	38.7	31.3
1943	27.8	23.8	27.8	23.8	27.8	23.8
